ID,Binomial,Class,Location,Country,All_countries,Units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Native,Unnamed: 102
900000,Amazilia_yucatanensis,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.057596,0.059068,0.061322,0.063234,0.06122,0.060512,0.061029,0.0603,0.06101,0.057443,0.06327,0.063789,0.066913,0.068679,0.071108,0.073777,0.079787,0.075303,0.069939,0.06803,0.065862,0.063408,0.062666,0.061329,0.062801,0.060782,0.059463,0.059019,1,
900001,Ammospiza_caudacuta,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06206,0.074766,0.081723,0.072613,0.067451,0.056817,0.053099,0.049114,0.047505,0.046968,0.047643,0.050061,0.051467,0.049104,0.044084,0.039988,0.037032,0.034446,0.032605,0.031493,0.030482,0.030065,0.030092,0.030277,0.030604,0.031654,0.032999,0.032615,1,
900002,Buteo_albonotatus,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033275,0.033073,0.036034,0.032231,0.034269,0.038883,0.039464,0.037605,0.043727,0.041488,0.045549,0.045285,0.045981,0.055834,0.050699,0.059089,0.056738,0.062338,0.063011,0.066026,0.074429,0.088306,0.076481,0.078282,0.08837,0.083504,0.099746,0.099536,1,
900003,Contopus_pertinax,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.383201,0.385866,0.377546,0.375953,0.372011,0.369454,0.370276,0.376545,0.381214,0.379046,0.384278,0.395478,0.408999,0.410477,0.42327,0.443401,0.462728,0.486211,0.49986,0.506774,0.502271,0.49226,0.491091,0.493591,0.49364,0.49058,0.479314,0.470276,1,
900004,Cynanthus_latirostris,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284601,0.284887,0.284959,0.285203,0.284906,0.285223,0.285565,0.286066,0.286105,0.287195,0.287538,0.287636,0.287168,0.287564,0.287443,0.288546,0.290224,0.291425,0.292897,0.293078,0.293427,0.292854,0.29246,0.29238,0.291198,0.290369,0.289918,0.289687,1,
900005,Leuconotopicus_arizonae,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188695,0.188978,0.188976,0.18972,0.188646,0.190044,0.191444,0.192374,0.194646,0.197128,0.198307,0.202136,0.207019,0.208283,0.211301,0.216634,0.222808,0.227686,0.22554,0.226323,0.22567,0.223792,0.222002,0.216864,0.2152,0.213837,0.212822,0.213893,1,
900006,Icterus_gularis,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106761,0.071908,0.05191,0.056104,0.060523,0.057388,0.095609,0.044083,0.027502,0.01767,0.012088,0.008145,0.005971,0.004681,0.003702,0.002987,0.00243,0.002161,0.002086,0.0019,0.001799,0.001708,0.001665,0.00167,0.001511,0.001417,0.001274,0.001201,1,
900007,Icterus_pectoralis,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011104,0.010494,0.010995,0.011345,0.011797,0.012364,0.013047,0.015512,0.017312,0.020645,0.015878,0.011889,0.010739,0.010354,0.011673,0.010326,0.009432,0.009529,0.007451,0.005992,0.005088,0.00429,0.003642,0.003268,0.003053,0.002713,0.00251,0.00234,1,
900008,Junco_phaeonotus,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.05405,44.386719,43.696301,43.242352,44.52071,45.212528,44.601189,44.936291,43.105412,40.83363,41.301231,40.50893,40.923519,39.570572,39.187038,37.74876,36.97963,36.786781,36.875332,36.821838,37.363258,38.3843,37.963268,37.39959,36.462292,35.627579,34.407829,33.535912,1,
900009,Laterallus_jamaicensis,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059542,0.061874,0.066477,0.071853,0.069787,0.066703,0.067648,0.067976,0.072174,0.076005,0.077402,0.086843,0.088087,0.08454,0.074992,0.069337,0.066927,0.062796,0.061715,0.059869,0.05917,0.059238,0.059213,0.059327,0.058901,0.058832,0.060137,0.063493,1,
900010,Micrathene_whitneyi,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02809,0.028235,0.029113,0.029581,0.030093,0.030542,0.03095,0.031768,0.032494,0.032639,0.032864,0.031928,0.030986,0.029961,0.029389,0.028802,0.028399,0.028125,0.028111,0.028278,0.028627,0.02864,0.028296,0.028063,0.028159,0.028489,0.028429,0.028426,1,
900011,Myiodynastes_luteiventris,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204845,0.204792,0.202461,0.201484,0.199492,0.197842,0.1981,0.199466,0.200211,0.197406,0.194855,0.193555,0.192818,0.193018,0.194064,0.197863,0.201214,0.202324,0.204307,0.208782,0.215153,0.216177,0.215654,0.211934,0.208307,0.20416,0.201915,0.200361,1,
900012,Onychoprion_aleuticus,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.01811,18.000629,17.32361,16.487061,15.92719,15.94833,15.3828,15.05826,14.87315,14.52848,14.64779,15.07508,15.77351,16.960159,16.935301,17.705059,17.919729,18.17,18.484791,18.49678,18.630449,17.96978,17.407591,16.9547,17.071051,16.892811,17.196989,17.14048,1,
900013,Peucaea_carpalis,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108,0.11081,0.121155,0.131141,0.143066,0.166058,0.190225,0.181615,0.195237,0.205739,0.231056,0.259123,0.314024,0.360176,0.404871,0.476234,0.566228,0.535104,0.506157,0.578155,0.684593,0.666337,0.70478,0.608287,0.558202,0.585414,0.510251,0.430414,1,
900014,Polioptila_californica,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030128,0.030188,0.030292,0.030326,0.030427,0.030526,0.030578,0.030742,0.030763,0.030874,0.030873,0.03083,0.031023,0.031181,0.031277,0.031436,0.031493,0.031614,0.031794,0.031935,0.032211,0.032582,0.033067,0.03361,0.033867,0.033714,0.033899,0.033876,1,
900015,Setophaga_chrysoparia,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.249478,1.250711,1.255676,1.252066,1.250618,1.25017,1.254557,1.253725,1.255781,1.252412,1.253904,1.259289,1.26365,1.272466,1.280903,1.283197,1.28686,1.285163,1.283691,1.286933,1.288052,1.290704,1.294109,1.303283,1.309845,1.314059,1.317846,1.319016,1,
900016,Spilopelia_chinensis,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055827,0.055288,0.053938,0.053064,0.052751,0.052655,0.05297,0.053442,0.054134,0.054827,0.055857,0.057209,0.05771,0.058845,0.059809,0.06102,0.062229,0.063547,0.064803,0.066183,0.058722,0.052566,0.047028,0.043594,0.04138,0.03883,0.037546,0.037238,0,
900017,Tachybaptus_dominicus,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043569,0.044,0.044054,0.044226,0.044291,0.044425,0.044718,0.044676,0.044743,0.04534,0.046096,0.047188,0.048673,0.049477,0.049469,0.048705,0.048412,0.048176,0.047988,0.047097,0.046705,0.046843,0.047566,0.04848,0.047921,0.048142,0.04843,0.048687,1,
900018,Trogon_elegans,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.070282,0.070315,0.070464,0.070431,0.070522,0.070476,0.070415,0.070441,0.070396,0.07043,0.070576,0.070656,0.070761,0.070821,0.070749,0.070391,0.07028,0.070313,0.0702,0.070198,0.070352,0.070497,0.07078,0.070842,0.070994,0.071029,0.071073,0.070938,1,
900019,Tympanuchus_pallidicinctus,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197312,0.205693,0.212064,0.219687,0.227247,0.236097,0.243579,0.251651,0.259535,0.272335,0.291913,0.306758,0.331632,0.36453,0.379669,0.390095,0.395214,0.389802,0.394603,0.385097,0.363087,0.345594,0.320458,0.309323,0.307456,0.313919,0.298733,0.293664,1,
900020,Tyrannus_crassirostris,Aves,United States,United States,United States,Abundance index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108011,0.105361,0.103571,0.103827,0.102801,0.101935,0.102158,0.104381,0.104479,0.105351,0.104202,0.103474,0.102096,0.101192,0.099868,0.097824,0.096461,0.094018,0.092788,0.092694,0.093689,0.096271,0.098486,0.100004,0.100395,0.101282,0.102529,0.103804,1,
